"Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A,Flows"
"172.16.8.79,50809,""172.16.15.9"",7680,2,132,7,2,132,0,0,0.825172,8.010071,131,0,0"
"172.16.9.30,58792,""172.16.15.123"",7680,4,232,45,2,120,2,112,6.241616,4.3563920000000005,220,205,2"
"172.16.9.41,62510,""172.16.15.3"",7680,2,132,25,2,132,0,0,3.348321,8.005991999999999,131,0,0"
"172.16.9.48,52722,""172.16.15.145"",7680,2,132,22,2,132,0,0,3.201187,8.002668,131,0,0"
"172.16.9.160,4616,""172.16.15.123"",7680,4,232,48,2,120,2,112,6.357984,4.240532999999999,226,211,2"
"172.16.9.164,59102,""172.16.15.3"",7680,1,66,36,1,66,0,0,4.761169,0,"""","""",0"
"172.16.9.165,56508,""172.16.15.40"",7680,5,330,1,5,330,0,0,0.068863,15.025174,175,0,0"
"172.16.9.169,22951,""172.16.15.40"",7680,3,198,89,3,198,0,0,12.5129,6.009641,263,0,0"
"172.16.9.207,64957,""172.16.15.123"",7680,8,549,8,5,375,3,174,0.998488,0.0046040000000000525,"""","""",1"
"172.16.10.134,60240,""172.16.15.3"",7680,3,198,14,3,198,0,0,1.53675,12.0137,131,0,0"
"172.16.10.134,60241,""172.16.15.11"",7680,4,264,9,4,264,0,0,1.084116,15.013664,140,0,0"
"172.16.11.39,57868,""172.16.15.100"",7680,5,330,30,5,330,0,0,4.384783,15.029873000000002,175,0,0"
"172.16.12.167,1087,""172.16.15.145"",7680,4,264,55,4,264,0,0,7.537893,15.029233000000001,140,0,0"
"172.16.13.249,2058,""172.16.15.105"",7680,1,66,38,1,66,0,0,5.113588,0,"""","""",0"
"172.16.15.123,62438,""40.126.17.132"",443,22,17053,31,8,6049,14,11004,4.393199,0.25801499999999944,187554,341189,6"
"172.16.15.123,59048,""104.18.21.213"",80,188,243645,52,26,1538,162,242107,6.833173,0.08908699999999925,138112,21741174,2"
"172.16.15.123,64910,""142.250.4.188"",5228,2,121,20,1,55,1,66,3.15327,0.033599000000000157,13095,15714,1"
"172.16.15.123,55781,""172.16.1.11"",53,11,995,34,6,368,5,627,4.753471,0.0013379999999996173,"""","""",2"
"172.16.15.123,59046,""172.16.1.11"",53,11,982,35,6,368,5,614,4.753593,0.00167899999999932,"""","""",2"
"172.16.15.123,7680,""172.16.9.44"",64733,2,118,72,1,58,1,60,10.549095,0.053643000000000995,8649,8948,1"
"172.16.15.123,59049,""172.16.10.224"",7680,8,543,100,5,357,3,186,17.649041,0.006299999999999528,453333,236190,1"
"172.16.15.123,7680,""172.16.25.147"",56727,2,118,66,1,58,1,60,10.548808,0.04275300000000115,10853,11227,1"
"172.16.15.123,7680,""172.16.25.154"",50762,4,232,67,2,112,2,120,10.54884,2.6916910000000005,332,356,2"
"172.16.15.123,7680,""172.16.38.143"",60248,2,118,82,1,58,1,60,10.549504,0.05040900000000015,9204,9522,1"
"172.16.15.123,7680,""172.16.76.26"",53840,2,118,75,1,58,1,60,10.54919,0.04797800000000052,9671,10004,1"
"172.16.15.123,7680,""172.16.76.29"",61809,4,232,80,2,112,2,120,10.549421,8.144436,110,117,2"
"172.16.15.123,7680,""172.16.80.149"",56861,2,118,70,1,58,1,60,10.549024,0.04921800000000154,9427,9752,1"
"172.16.15.123,7680,""172.16.80.153"",58584,2,118,69,1,58,1,60,10.548992,0.05410900000000041,8575,8870,1"
"172.16.15.123,7680,""172.16.88.23"",49387,4,232,74,2,112,2,120,10.549152,11.09339,80,86,2"
"172.16.15.123,7680,""172.16.88.33"",61178,2,118,79,1,58,1,60,10.549347000000001,0.04744199999999843,9780,10117,1"
"172.16.15.123,7680,""172.16.88.75"",55914,2,118,65,1,58,1,60,10.548673,0.0582969999999996,7959,8233,1"
"172.16.15.123,7680,""172.16.89.27"",54128,2,118,84,1,58,1,60,10.549558,0.05592100000000144,8297,8583,1"
"172.16.15.123,7680,""172.16.89.40"",57569,4,232,77,2,112,2,120,10.549274,4.565823,196,210,2"
"172.16.15.123,7680,""172.16.89.43"",61758,2,118,78,1,58,1,60,10.549302,0.04341799999999907,10686,11055,1"
"172.16.15.123,7680,""172.16.89.62"",54626,2,118,83,1,58,1,60,10.549531,0.052538000000000196,8831,9136,1"
"172.16.15.123,7680,""172.16.89.75"",60847,2,118,71,1,58,1,60,10.549064,0.056874000000000535,8158,8439,1"
"172.16.15.123,7680,""172.16.89.167"",61310,2,118,73,1,58,1,60,10.549123999999999,0.04861200000000032,9544,9874,1"
"172.16.15.123,7680,""172.16.96.48"",59966,4,232,68,2,112,2,120,10.548913,5.973069999999998,150,160,2"
"172.16.15.123,7680,""172.16.96.158"",57235,2,118,76,1,58,1,60,10.549244999999999,0.057023000000000934,8137,8417,1"
"172.16.15.123,61346,""172.16.97.165"",7680,2,118,81,1,58,1,60,10.549475,0.043301000000001366,10715,11085,1"
"172.16.15.123,57540,""172.64.148.235"",443,11,1003,60,5,478,6,525,8.568393,2.5763759999999998,1484,1630,6"
"172.16.15.123,59047,""185.125.190.21"",443,76,67260,49,27,2323,49,64937,6.453661,0.9842649999999997,18881,527800,4"
"172.16.24.249,63717,""172.16.15.40"",7680,2,132,88,2,132,0,0,12.346534,7.036447000000001,150,0,0"
"172.16.25.6,51480,""172.16.15.123"",7680,4,232,42,2,120,2,112,5.720334,4.884564,196,183,2"
"172.16.25.21,54251,""172.16.15.123"",7680,4,232,46,2,120,2,112,6.288214,4.309794,222,207,2"
"172.16.25.94,60875,""172.16.15.9"",7680,2,132,23,2,132,0,0,3.293144,8.002224,131,0,0"
"172.16.25.96,58863,""172.16.15.83"",7680,5,330,19,5,330,0,0,3.148315,15.058882,175,0,0"
"172.16.25.98,58553,""172.16.15.3"",7680,1,66,105,1,66,0,0,22.480412,0,"""","""",0"
"172.16.25.160,59266,""172.16.15.3"",7680,3,198,102,3,198,0,0,18.891637,3.019808000000001,524,0,0"
"172.16.25.162,60682,""172.16.15.40"",7680,5,330,53,5,330,0,0,7.381063,15.039708999999998,175,0,0"
"172.16.25.229,50820,""172.16.15.3"",7680,2,132,27,2,132,0,0,3.577963,8.004914,131,0,0"
"172.16.25.233,60886,""172.16.15.83"",7680,3,198,12,3,198,0,0,1.407083,12.017801,131,0,0"
"172.16.25.234,51211,""172.16.15.3"",7680,2,132,101,2,132,0,0,18.685901,1.0126609999999978,1042,0,0"
"172.16.26.164,61851,""172.16.15.83"",7680,2,132,99,2,132,0,0,17.223003,3.0198810000000016,349,0,0"
"172.16.26.207,58082,""172.16.15.3"",7680,3,198,93,3,198,0,0,15.56948,7.030983999999998,225,0,0"
"172.16.26.225,49928,""172.16.15.37"",7680,1,66,106,1,66,0,0,22.747046,0,"""","""",0"
"172.16.27.98,51791,""172.16.15.3"",7680,1,66,50,1,66,0,0,6.52378,0,"""","""",0"
"172.16.38.182,61957,""172.16.15.40"",7680,2,132,10,2,132,0,0,1.138193,8.001011,131,0,0"
"172.16.56.24,51719,""172.16.15.9"",7680,2,132,91,2,132,0,0,13.648808,4.008232999999999,263,0,0"
"172.16.56.38,51168,""172.16.15.123"",7680,4,232,41,2,120,2,112,5.529923,5.065923999999999,189,176,2"
"172.16.73.136,62819,""172.16.15.123"",7680,4,232,57,2,120,2,112,7.568111,3.0223700000000004,317,296,2"
"172.16.73.221,59663,""172.16.15.123"",7680,8,549,4,5,375,3,174,0.259563,0.009101999999999999,329597,152933,1"
"172.16.73.243,63615,""172.16.15.9"",7680,4,264,64,4,264,0,0,10.206153,7.014982,301,0,0"
"172.16.75.131,54413,""172.16.15.9"",7680,5,330,47,5,330,0,0,6.305505,15.040959999999998,175,0,0"
"172.16.75.132,63575,""172.16.15.9"",7680,2,132,103,2,132,0,0,20.922797,2.0140340000000023,524,0,0"
"172.16.75.156,54778,""172.16.15.9"",7680,3,198,11,3,198,0,0,1.231807,12.008442,131,0,0"
"172.16.75.187,53282,""172.16.15.9"",7680,1,66,24,1,66,0,0,3.312486,0,"""","""",0"
"172.16.75.201,53881,""172.16.15.3"",7680,4,264,87,4,264,0,0,11.946508,7.012437,301,0,0"
"172.16.75.202,60904,""172.16.15.3"",7680,1,66,3,1,66,0,0,0.193463,0,"""","""",0"
"172.16.75.206,50439,""172.16.15.3"",7680,5,330,54,5,330,0,0,7.402547,15.027921999999998,175,0,0"
"172.16.75.239,56673,""172.16.15.3"",7680,1,66,40,1,66,0,0,5.508957,0,"""","""",0"
"172.16.80.35,52633,""172.16.15.3"",7680,5,330,28,5,330,0,0,3.976141,15.062589999999998,175,0,0"
"172.16.80.109,53915,""172.16.15.145"",7680,5,330,18,5,330,0,0,2.72378,15.015531000000001,175,0,0"
"172.16.80.124,62543,""172.16.15.3"",7680,1,66,26,1,66,0,0,3.458611,0,"""","""",0"
"172.16.80.139,63480,""172.16.15.3"",7680,3,198,59,3,198,0,0,8.232539,3.0188450000000007,524,0,0"
"172.16.80.169,57175,""172.16.15.9"",7680,3,198,13,3,198,0,0,1.451395,12.0041,131,0,0"
"172.16.80.177,51210,""172.16.15.37"",7680,4,264,95,4,264,0,0,15.940518,7.018114000000001,300,0,0"
"172.16.88.11,49424,""172.16.15.3"",7680,4,264,63,4,264,0,0,10.12676,7.024657999999999,300,0,0"
"172.16.88.39,51003,""172.16.15.3"",7680,5,330,58,5,330,0,0,7.700195,15.048637,175,0,0"
"172.16.88.41,64912,""172.16.15.123"",7680,4,232,32,2,120,2,112,4.489414,6.114477000000001,157,146,2"
"172.16.88.63,49744,""172.16.15.3"",7680,1,66,39,1,66,0,0,5.203894,0,"""","""",0"
"172.16.88.64,53813,""172.16.15.3"",7680,4,264,2,4,264,0,0,0.08348,14.010759,150,0,0"
"172.16.88.105,14343,""172.16.15.3"",7680,4,264,86,4,264,0,0,11.668811999999999,7.031943999999999,300,0,0"
"172.16.88.107,12412,""172.16.15.3"",7680,3,198,15,3,198,0,0,1.597978,12.015969,131,0,0"
"172.16.88.127,52566,""172.16.15.40"",7680,5,330,17,5,330,0,0,2.5321860000000003,15.042425999999999,175,0,0"
"172.16.88.148,51429,""172.16.15.3"",7680,4,264,90,4,264,0,0,13.304877,7.031864000000001,300,0,0"
"172.16.89.5,56393,""172.16.15.3"",7680,3,198,5,3,198,0,0,0.406199,12.013603,131,0,0"
"172.16.89.7,49412,""172.16.15.3"",7680,5,330,51,5,330,0,0,6.728812,15.034440000000002,175,0,0"
"172.16.89.129,59848,""172.16.15.3"",7680,3,198,98,3,198,0,0,16.592631,6.013469999999998,263,0,0"
"172.16.89.140,59901,""172.16.15.3"",7680,3,198,97,3,198,0,0,16.56716,3.0130339999999975,525,0,0"
"172.16.89.166,62093,""172.16.15.3"",7680,1,66,56,1,66,0,0,7.560033,0,"""","""",0"
"172.16.96.25,64518,""172.16.15.3"",7680,3,198,94,3,198,0,0,15.639223,3.015680999999999,525,0,0"
"172.16.96.101,63087,""172.16.15.145"",7680,1,66,29,1,66,0,0,4.375325,0,"""","""",0"
"172.16.96.109,60768,""172.16.15.83"",7680,4,264,6,4,264,0,0,0.45015,14.02957,150,0,0"
"172.16.96.121,64694,""172.16.15.145"",7680,4,264,92,4,264,0,0,13.981847,7.032780000000001,300,0,0"
"172.16.96.141,58980,""172.16.15.83"",7680,1,66,33,1,66,0,0,4.724483,0,"""","""",0"
"172.16.96.145,54096,""172.16.15.3"",7680,5,330,16,5,330,0,0,1.649059,15.037414,175,0,0"
"172.16.96.152,56218,""172.16.15.40"",7680,1,66,44,1,66,0,0,6.203307,0,"""","""",0"
"172.16.96.154,52442,""172.16.15.9"",7680,1,66,104,1,66,0,0,21.674382,0,"""","""",0"
"172.16.97.123,50897,""172.16.15.3"",7680,3,198,0,3,198,0,0,0,12.017441,131,0,0"
"172.16.97.126,49423,""172.16.15.3"",7680,2,132,96,2,132,0,0,16.310324,1.0027369999999998,1053,0,0"
"172.16.97.150,63959,""172.16.15.3"",7680,1,66,107,1,66,0,0,22.898927,0,"""","""",0"
"172.16.97.159,61924,""172.16.15.3"",7680,3,198,62,3,198,0,0,9.029984,7.010085999999999,225,0,0"
"172.16.97.161,60645,""172.16.15.11"",7680,2,132,21,2,132,0,0,3.190991,8.004954999999999,131,0,0"
"172.16.97.186,51350,""172.16.15.3"",7680,3,198,61,3,198,0,0,8.876923,7.02089,225,0,0"
"172.16.97.198,51133,""172.16.15.3"",7680,4,264,37,4,264,0,0,4.7614090000000004,7.009236999999999,301,0,0"
"172.16.97.231,63281,""172.16.15.3"",7680,5,330,43,5,330,0,0,5.990869,15.035719,175,0,0"
"172.16.97.243,52410,""172.16.15.3"",7680,3,198,85,3,198,0,0,11.210033,3.010904,526,0,0"
